,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5913,5913,2022-03-21 03:15:07-04:00,60.0,100,100,100,100,100,100,0.76000005,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1914.89368,2177.41943,6.25,4.6875,3.90625,8.59375,3.125,3.125,4.947919,22,25,23,28,23,24,28,4005.52051,4005.52051,4005.52051,3404.69238,3705.10645,4005.52051,14.0350628,7.651346,5.536261,1.61415529,100.138008,51.5574036,8.167576,7.674137,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5914,5914,2022-03-21 03:15:08-04:00,60.0,100,100,100,100,100,100,0.91200006,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1928.57141,2166.934,6.25,7.8125,2.34375,4.6875,2.34375,0.78125,4.036456,23,24,22,23,24,23,27,3104.278,4005.52026,4005.52026,4005.52026,2904.0022,2904.0022,15.5996513,9.138416,5.576359,1.74604082,100.138008,51.652977,8.182716,7.65899658,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5915,5915,2022-03-21 03:15:09-04:00,60.0,100,100,100,100,100,100,0.776,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2180.937,2.34375,10.15625,7.03125,4.6875,0.0,5.46875,4.947919,24,25,23,25,24,28,28,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,17.3275414,10.825408,5.588784,1.88040292,100.138023,51.6684341,8.185165,7.65654755,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5916,5916,2022-03-21 03:15:10-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2173.913,4.60373163,11.5384579,11.5384579,4.615384,3.858173,5.432689,6.931156,23,24,23,23,23,24,27,4105.65771,3504.82959,4005.51953,4005.51953,4005.51953,4005.51953,16.5188084,10.2768822,5.29719162,1.8144424,100.137993,51.78773,8.204063,7.63764954,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5917,5917,2022-03-21 03:15:11-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1914.89368,2173.913,0.78125,8.59375,9.375,3.125,3.90625,3.1129837,4.81570339,23,25,34,24,24,24,34,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,16.3310852,10.7000017,4.68419075,1.90006018,100.138031,51.83815,8.212051,7.62966156,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5918,5918,2022-03-21 03:15:12-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1912.18127,2177.41943,3.90625,10.15625,4.6875,6.25,0.7692337,2.34375,4.68549728,23,24,23,24,24,23,27,4005.51978,3104.27783,2904.00171,2904.00171,4005.51978,4005.51978,14.879076,9.285458,4.65645742,1.81769884,100.137993,51.924,8.225651,7.616062,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5919,5919,2022-03-21 03:15:13-04:00,60.0,100,100,100,100,100,100,0.76000005,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1925.82031,2166.934,3.125,14.0625,2.34375,2.34375,2.34375,3.90625,4.6875,23,28,23,24,22,24,28,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,15.6095829,10.0077019,4.65779352,1.85905564,100.138016,52.3047256,8.285965,7.555748,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5920,5920,2022-03-21 03:15:14-04:00,60.0,100,100,100,100,100,100,0.808,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2173.913,7.03125,13.28125,3.90625,7.8125,9.375,2.34375,7.291669,24,25,22,24,23,24,27,4005.52051,4005.52051,3404.69263,4005.52051,3705.10669,4005.52051,14.8828087,9.675632,4.273885,1.87266612,100.138016,52.04014,8.244049,7.597664,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5921,5921,2022-03-21 03:15:15-04:00,60.0,100,100,100,100,100,100,0.792000055,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2173.913,2.34375,11.71875,3.125,9.375,2.34375,0.78125,4.947919,22,24,23,23,31,23,31,4005.52075,3705.10669,3404.69263,3805.24463,4005.52075,4005.52075,14.6009531,9.370654,4.29199171,1.84262943,100.138016,52.1363144,8.259285,7.582428,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
5922,5922,2022-03-21 03:15:16-04:00,60.0,100,100,100,100,100,100,0.808,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1925.82031,2173.913,5.4086566,18.4615364,6.947112,3.076923,4.6274066,1.53846145,6.676692,23,24,22,23,23,24,27,4005.52,4005.52,4005.52,3404.692,3404.692,2904.002,15.24109,9.955545,4.33934975,1.87928057,100.138,52.0871429,8.251495,7.59021759,100,1112.93323,69.10974,25,1.51951289,99,2098.32031,81.977356,26,1.52394259
