,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
8483,8483,2022-03-21 16:03:16-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1923.0769,2173.913,4.615384,10.0000019,7.69230747,6.92307949,19.23077,4.615384,8.846158,23,24,25,24,25,27,27,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,16.1833172,12.2261562,0,1.37310123,100.138115,39.8948555,6.34807968,9.563946,50,52,0,0,0,50,14,0,792,666,100,0.775000036,0.85,0.8,1,2,0,100.0,1113.12048,25,1.51964724,36.0,31.7077026,
8484,8484,2022-03-21 16:03:17-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1923.0769,2173.913,5.384612,4.615384,3.8461566,6.153846,31.5384636,9.230768,10.1282063,22,31,23,23,26,25,32,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,17.9470348,14.3817444,0,1.4987464,100.138107,40.1464844,6.38811874,9.523907,50,50,0,0,0,50,10,0,792,202,55,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
8485,8485,2022-03-21 16:03:18-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1914.89368,2170.418,6.25,20.3125,10.9375,6.22596169,5.46875,4.6875,8.98037,22,23,21,22,21,23,24,801.104553,801.104553,4005.523,4005.523,4005.523,4005.523,15.0186968,11.4589214,0,1.43871975,100.138069,39.9381256,6.354965,9.55706,50,50,0,0,0,50,10,0,792,200,99,0.775000036,0.675,0.8,1,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
8486,8486,2022-03-21 16:03:19-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.37600017,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2177.41943,4.615384,15.4326916,4.615384,12.3076916,6.92307949,4.6274066,8.086938,22,23,21,24,21,22,24,3204.42065,3204.42065,3204.42065,3204.42065,4005.526,3705.11133,12.471735,8.829701,0,1.38511157,100.138145,39.9412231,6.35545731,9.556568,50,50,0,0,0,50,11,0,791,200,167,0.775000036,0.675,0.8,1,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
8487,8487,2022-03-21 16:03:20-04:00,60.0,100,100,100,100,100,100,0.76000005,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1936.87231,2166.934,0.78125,21.09375,6.25,9.375,5.46875,3.1129837,7.680291,22,33,22,26,22,23,33,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,15.3117352,11.6897831,0,1.52260077,100.138123,40.1288643,6.385315,9.52671051,50,50,0,0,0,50,10,0,792,200,68,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
8488,8488,2022-03-21 16:03:21-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1923.0769,2170.418,6.153846,14.6037283,3.076923,5.384612,3.8461566,2.30768919,5.89549541,21,22,20,22,20,21,24,2002.7616,2002.7616,2002.7616,1702.34729,1702.34729,1401.93311,8.899786,5.35933256,0,1.32849193,100.138077,40.119175,6.383774,9.528252,50,50,0,0,0,50,10,0,791,200,132,0.775000036,0.675,0.8,1,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
8489,8489,2022-03-21 16:03:22-04:00,60.0,100,100,100,100,100,100,0.904000044,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1923.0769,2177.41943,5.46875,7.03125,10.15625,10.9375,11.71875,1.5625,7.8125,24,23,31,23,23,23,31,4005.526,4005.526,4005.526,4005.526,4005.526,4005.526,12.2650127,8.683124,0,1.48669386,100.138145,40.8848724,6.50561142,9.406414,50,50,0,0,0,50,10,0,792,202,66,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
8490,8490,2022-03-21 16:03:23-04:00,60.0,100,100,100,100,100,100,0.808,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1914.89368,2170.418,1.53846145,16.1538486,7.69230747,8.4615345,3.8461566,6.153846,7.30769062,22,23,21,21,20,22,24,1201.65674,1201.65674,1201.65674,1201.65674,1201.65674,1201.65674,9.233104,5.74396849,0,1.34792721,100.138062,40.20124,6.39683151,9.515194,50,50,0,0,0,50,10,0,792,200,78,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
8491,8491,2022-03-21 16:03:24-04:00,60.0,100,100,100,100,100,100,0.624,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1914.89368,2173.913,7.03125,13.28125,4.6875,11.71875,4.6875,4.6875,7.682294,21,21,20,21,20,21,24,1201.65723,2403.31445,2803.867,2803.867,2803.867,3604.97168,9.23067,5.72811747,0,1.39180911,100.138107,40.42489,6.432419,9.479607,50,50,0,0,0,50,12,0,792,364,128,0.8,0.675,0.8,3,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
8492,8492,2022-03-21 16:03:25-04:00,60.0,100,100,100,100,100,100,0.76000005,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2173.913,3.90625,13.28125,13.28125,9.375,5.46875,1.5625,7.8125,31,24,23,25,23,24,29,4005.52661,4005.52661,4005.52661,4005.52661,4005.52661,4005.52661,13.4341087,9.755565,0,1.508022,100.138168,40.39826,6.42818069,9.483845,50,50,0,0,0,50,10,0,792,200,98,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964724,36.0,31.7075577,
